"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","test_add_one_coffee[chromium-Americano-$7.00]","tests","Tue Jan 20 19:52:04 UTC 2026","passed","Tue Jan 20 19:52:04 UTC 2026","","test_TC#001","",""
"","98","test_add_two_coffees[chromium-Cappuccino-Americano-$19.00-$7.00]","tests","Tue Jan 20 19:52:04 UTC 2026","passed","Tue Jan 20 19:52:05 UTC 2026","","test_TC#001","",""
"","97","test_add_two_coffees[chromium-Cafe Latte-Americano-$16.00-$7.00]","tests","Tue Jan 20 19:52:05 UTC 2026","passed","Tue Jan 20 19:52:05 UTC 2026","","test_TC#001","",""
"","120","test_add_two_coffees[chromium-Espresso-Mocha-$10.00-$8.00]","tests","Tue Jan 20 19:52:03 UTC 2026","passed","Tue Jan 20 19:52:03 UTC 2026","","test_TC#001","",""
"","116","test_add_two_coffees[chromium-Cappuccino-Mocha-$19.00-$8.00]","tests","Tue Jan 20 19:52:04 UTC 2026","passed","Tue Jan 20 19:52:04 UTC 2026","","test_TC#001","",""
"","77","test_api_negative[chromium]","tests","Tue Jan 20 19:52:02 UTC 2026","passed","Tue Jan 20 19:52:02 UTC 2026","","test_TC#005","",""
"","97","test_add_two_coffees[chromium-Mocha-Americano-$8.00-$7.00]","tests","Tue Jan 20 19:52:05 UTC 2026","passed","Tue Jan 20 19:52:05 UTC 2026","","test_TC#001","",""
"","495","test_events_3[chromium]","tests","Tue Jan 20 19:52:03 UTC 2026","passed","Tue Jan 20 19:52:03 UTC 2026","","test_TC#003","",""
"","75","test_add_one_coffee[chromium-Cappuccino-$19.00]","tests","Tue Jan 20 19:52:03 UTC 2026","passed","Tue Jan 20 19:52:03 UTC 2026","","test_TC#001","",""
"","125","test_add_two_coffees[chromium-Cappuccino-Cafe Latte-$19.00-$16.00]","tests","Tue Jan 20 19:52:04 UTC 2026","passed","Tue Jan 20 19:52:04 UTC 2026","","test_TC#001","",""
"","105","test_add_two_coffees[chromium-Espresso-Cafe Latte-$10.00-$16.00]","tests","Tue Jan 20 19:52:03 UTC 2026","passed","Tue Jan 20 19:52:03 UTC 2026","","test_TC#001","",""
"","84","test_add_one_coffee[chromium-Mocha-$8.00]","tests","Tue Jan 20 19:52:04 UTC 2026","passed","Tue Jan 20 19:52:04 UTC 2026","","test_TC#001","",""
"","67","test_add_one_coffee[chromium-Cafe Latte-$16.00]","tests","Tue Jan 20 19:52:03 UTC 2026","passed","Tue Jan 20 19:52:03 UTC 2026","","test_TC#001","",""
"","108","test_add_two_coffees[chromium-Espresso-Americano-$10.00-$7.00]","tests","Tue Jan 20 19:52:04 UTC 2026","passed","Tue Jan 20 19:52:04 UTC 2026","","test_TC#001","",""
"","102","test_add_one_coffee[chromium-Espresso-$10.00]","tests","Tue Jan 20 19:52:01 UTC 2026","passed","Tue Jan 20 19:52:01 UTC 2026","","test_TC#001","",""
"","201","test_intercept_500[chromium]","tests","Tue Jan 20 19:52:01 UTC 2026","passed","Tue Jan 20 19:52:01 UTC 2026","","test_TC#002","",""
"","211","test_intercept_200[chromium]","tests","Tue Jan 20 19:52:01 UTC 2026","passed","Tue Jan 20 19:52:01 UTC 2026","","test_TC#002","",""
"","118","test_add_two_coffees[chromium-Cafe Latte-Mocha-$16.00-$8.00]","tests","Tue Jan 20 19:52:05 UTC 2026","passed","Tue Jan 20 19:52:05 UTC 2026","","test_TC#001","",""
"","98","test_add_two_coffees[chromium-Espresso-Cappuccino-$10.00-$19.00]","tests","Tue Jan 20 19:52:01 UTC 2026","passed","Tue Jan 20 19:52:01 UTC 2026","","test_TC#001","",""
"","91","test_events_2[chromium]","tests","Tue Jan 20 19:52:02 UTC 2026","passed","Tue Jan 20 19:52:02 UTC 2026","","test_TC#003","",""
"","179","test_events_4[chromium]","tests","Tue Jan 20 19:52:01 UTC 2026","passed","Tue Jan 20 19:52:02 UTC 2026","","test_TC#003","",""
"","794","test_events_1[chromium]","tests","Tue Jan 20 19:52:01 UTC 2026","passed","Tue Jan 20 19:52:02 UTC 2026","","test_TC#003","",""
"","184","test_api_positive[chromium]","tests","Tue Jan 20 19:52:02 UTC 2026","passed","Tue Jan 20 19:52:02 UTC 2026","","test_TC#005","",""
